selection_index	record_id	record_index	species_rank	species_code	chr	start	end	sequence_length	label_length
400	test_line_001120	1120	40	western_clawed_frog	chr5	163840	167936	4096	4096
401	test_line_001121	1121	41	western_clawed_frog	chr5	167936	172032	4096	4096
402	test_line_001122	1122	42	western_clawed_frog	chr5	172032	176128	4096	4096
403	test_line_001123	1123	43	western_clawed_frog	chr5	180224	184320	4096	4096
404	test_line_001124	1124	44	western_clawed_frog	chr5	184320	188416	4096	4096
405	test_line_001125	1125	45	western_clawed_frog	chr5	192512	196608	4096	4096
406	test_line_001126	1126	46	western_clawed_frog	chr5	196608	200704	4096	4096
407	test_line_001127	1127	47	western_clawed_frog	chr5	200704	204800	4096	4096
408	test_line_001128	1128	48	western_clawed_frog	chr5	204800	208896	4096	4096
409	test_line_001129	1129	49	western_clawed_frog	chr5	208896	212992	4096	4096
410	test_line_001130	1130	50	western_clawed_frog	chr5	212992	217088	4096	4096
411	test_line_001131	1131	51	western_clawed_frog	chr5	217088	221184	4096	4096
412	test_line_001132	1132	52	western_clawed_frog	chr5	221184	225280	4096	4096
413	test_line_001133	1133	53	western_clawed_frog	chr5	225280	229376	4096	4096
414	test_line_001134	1134	54	western_clawed_frog	chr5	229376	233472	4096	4096
415	test_line_001135	1135	55	western_clawed_frog	chr5	233472	237568	4096	4096
416	test_line_001136	1136	56	western_clawed_frog	chr5	237568	241664	4096	4096
417	test_line_001137	1137	57	western_clawed_frog	chr5	241664	245760	4096	4096
418	test_line_001138	1138	58	western_clawed_frog	chr5	245760	249856	4096	4096
419	test_line_001139	1139	59	western_clawed_frog	chr5	249856	253952	4096	4096
420	test_line_001140	1140	60	western_clawed_frog	chr5	253952	258048	4096	4096
421	test_line_001141	1141	61	western_clawed_frog	chr5	258048	262144	4096	4096
422	test_line_001142	1142	62	western_clawed_frog	chr5	262144	266240	4096	4096
423	test_line_001143	1143	63	western_clawed_frog	chr5	266240	270336	4096	4096
424	test_line_001144	1144	64	western_clawed_frog	chr5	270336	274432	4096	4096
425	test_line_001145	1145	65	western_clawed_frog	chr5	274432	278528	4096	4096
426	test_line_001146	1146	66	western_clawed_frog	chr5	278528	282624	4096	4096
427	test_line_001147	1147	67	western_clawed_frog	chr5	282624	286720	4096	4096
428	test_line_001148	1148	68	western_clawed_frog	chr5	286720	290816	4096	4096
429	test_line_001149	1149	69	western_clawed_frog	chr5	290816	294912	4096	4096
430	test_line_001150	1150	70	western_clawed_frog	chr5	294912	299008	4096	4096
431	test_line_001151	1151	71	western_clawed_frog	chr5	299008	303104	4096	4096
432	test_line_001152	1152	72	western_clawed_frog	chr5	303104	307200	4096	4096
433	test_line_001153	1153	73	western_clawed_frog	chr5	307200	311296	4096	4096
434	test_line_001154	1154	74	western_clawed_frog	chr5	311296	315392	4096	4096
435	test_line_001155	1155	75	western_clawed_frog	chr5	315392	319488	4096	4096
436	test_line_001156	1156	76	western_clawed_frog	chr5	319488	323584	4096	4096
437	test_line_001157	1157	77	western_clawed_frog	chr5	323584	327680	4096	4096
438	test_line_001158	1158	78	western_clawed_frog	chr5	327680	331776	4096	4096
439	test_line_001159	1159	79	western_clawed_frog	chr5	331776	335872	4096	4096
440	test_line_001160	1160	80	western_clawed_frog	chr5	335872	339968	4096	4096
441	test_line_001161	1161	81	western_clawed_frog	chr5	339968	344064	4096	4096
442	test_line_001162	1162	82	western_clawed_frog	chr5	344064	348160	4096	4096
443	test_line_001163	1163	83	western_clawed_frog	chr5	348160	352256	4096	4096
444	test_line_001164	1164	84	western_clawed_frog	chr5	352256	356352	4096	4096
445	test_line_001165	1165	85	western_clawed_frog	chr5	356352	360448	4096	4096
446	test_line_001166	1166	86	western_clawed_frog	chr5	360448	364544	4096	4096
447	test_line_001167	1167	87	western_clawed_frog	chr5	364544	368640	4096	4096
448	test_line_001168	1168	88	western_clawed_frog	chr5	368640	372736	4096	4096
449	test_line_001169	1169	89	western_clawed_frog	chr5	372736	376832	4096	4096
450	test_line_001170	1170	90	western_clawed_frog	chr5	376832	380928	4096	4096
451	test_line_001171	1171	91	western_clawed_frog	chr5	380928	385024	4096	4096
452	test_line_001172	1172	92	western_clawed_frog	chr5	385024	389120	4096	4096
453	test_line_001173	1173	93	western_clawed_frog	chr5	389120	393216	4096	4096
454	test_line_001174	1174	94	western_clawed_frog	chr5	393216	397312	4096	4096
455	test_line_001175	1175	95	western_clawed_frog	chr5	397312	401408	4096	4096
456	test_line_001176	1176	96	western_clawed_frog	chr5	401408	405504	4096	4096
457	test_line_001177	1177	97	western_clawed_frog	chr5	405504	409600	4096	4096
458	test_line_001178	1178	98	western_clawed_frog	chr5	409600	413696	4096	4096
459	test_line_001179	1179	99	western_clawed_frog	chr5	413696	417792	4096	4096
460	test_line_001180	1180	100	western_clawed_frog	chr5	417792	421888	4096	4096
461	test_line_001181	1181	101	western_clawed_frog	chr5	421888	425984	4096	4096
462	test_line_001182	1182	102	western_clawed_frog	chr5	425984	430080	4096	4096
463	test_line_001183	1183	103	western_clawed_frog	chr5	430080	434176	4096	4096
464	test_line_001184	1184	104	western_clawed_frog	chr5	434176	438272	4096	4096
465	test_line_001185	1185	105	western_clawed_frog	chr5	438272	442368	4096	4096
466	test_line_001186	1186	106	western_clawed_frog	chr5	442368	446464	4096	4096
467	test_line_001187	1187	107	western_clawed_frog	chr5	446464	450560	4096	4096
468	test_line_001188	1188	108	western_clawed_frog	chr5	450560	454656	4096	4096
469	test_line_001189	1189	109	western_clawed_frog	chr5	454656	458752	4096	4096
470	test_line_001190	1190	110	western_clawed_frog	chr5	458752	462848	4096	4096
471	test_line_001191	1191	111	western_clawed_frog	chr5	462848	466944	4096	4096
472	test_line_001192	1192	112	western_clawed_frog	chr5	466944	471040	4096	4096
473	test_line_001193	1193	113	western_clawed_frog	chr5	471040	475136	4096	4096
474	test_line_001194	1194	114	western_clawed_frog	chr5	475136	479232	4096	4096
475	test_line_001195	1195	115	western_clawed_frog	chr5	479232	483328	4096	4096
476	test_line_001196	1196	116	western_clawed_frog	chr5	483328	487424	4096	4096
477	test_line_001197	1197	117	western_clawed_frog	chr5	487424	491520	4096	4096
478	test_line_001198	1198	118	western_clawed_frog	chr5	491520	495616	4096	4096
479	test_line_001199	1199	119	western_clawed_frog	chr5	495616	499712	4096	4096
