family	state	dfam_exact_name_record_count	dfam_ids	dfam_accessions	rm_entry_count_by_accession	rm_accessions	rm_names_by_accession	generated_fragment_rows	generated_raw_fragment_bp	generated_union_bp
Gypsy7_I	matched	1	"[""DF000001632""]"	"[""DF000001632""]"	1	"[""DF000001632.4""]"	"[""Gypsy7_I""]"	54	40322	40322
Gypsy7_LTR	matched	1	"[""DF000001633""]"	"[""DF000001633""]"	1	"[""DF000001633.3""]"	"[""Gypsy7_LTR""]"	47	10565	10565
Gypsy8A_DM-LTR	matched	1	"[""DF003894081""]"	"[""DF003894081""]"	1	"[""DF003894081.2""]"	"[""Gypsy8A_DM-LTR""]"	807	213546	213546
Gypsy9_I	matched	1	"[""DF000001636""]"	"[""DF000001636""]"	1	"[""DF000001636.4""]"	"[""Gypsy9_I""]"	35	22341	22341
Gypsy9_LTR	matched	1	"[""DF000001637""]"	"[""DF000001637""]"	1	"[""DF000001637.3""]"	"[""Gypsy9_LTR""]"	92	19814	19814
Gypsy_I	matched	1	"[""DF000001638""]"	"[""DF000001638""]"	1	"[""DF000001638.4""]"	"[""Gypsy_I""]"	173	132844	132844
Gypsy_LTR	matched	1	"[""DF000001639""]"	"[""DF000001639""]"	1	"[""DF000001639.3""]"	"[""Gypsy_LTR""]"	611	195654	195654
HMS-Beagle2-I	matched	1	"[""DF000001620""]"	"[""DF000001620""]"	1	"[""DF000001620.3""]"	"[""HMS-Beagle2-I""]"	138	164992	164992
HMS-Beagle2-LTR	matched	1	"[""DF000001622""]"	"[""DF000001622""]"	1	"[""DF000001622.3""]"	"[""HMS-Beagle2-LTR""]"	650	162442	162442
HMSBeagle3_Dmel-I	matched	1	"[""DF003894092""]"	"[""DF003894092""]"	1	"[""DF003894092.2""]"	"[""HMSBeagle3_Dmel-I""]"	36	10362	10362
HMSBeagle3_Dmel-LTR	matched	1	"[""DF003894077""]"	"[""DF003894077""]"	1	"[""DF003894077.2""]"	"[""HMSBeagle3_Dmel-LTR""]"	38	15609	15609
HMSBeagle4_Dmel-I	matched	1	"[""DF003894095""]"	"[""DF003894095""]"	1	"[""DF003894095.2""]"	"[""HMSBeagle4_Dmel-I""]"	52	21391	21391
HMSBeagle4_Dmel-LTR	matched	1	"[""DF003894079""]"	"[""DF003894079""]"	1	"[""DF003894079.2""]"	"[""HMSBeagle4_Dmel-LTR""]"	46	9347	9347
HMSBeagle5_Dmel-I	matched	1	"[""DF003894097""]"	"[""DF003894097""]"	1	"[""DF003894097.2""]"	"[""HMSBeagle5_Dmel-I""]"	64	62470	62470
HMSBeagle5_Dmel-LTR	matched	1	"[""DF003894082""]"	"[""DF003894082""]"	1	"[""DF003894082.2""]"	"[""HMSBeagle5_Dmel-LTR""]"	51	11889	11889
HMSBeagle_I	matched	1	"[""DF000001644""]"	"[""DF000001644""]"	1	"[""DF000001644.3""]"	"[""HMSBeagle_I""]"	216	93816	93816
HMSBeagle_LTR	matched	1	"[""DF000001578""]"	"[""DF000001578""]"	1	"[""DF000001578.3""]"	"[""HMSBeagle_LTR""]"	152	31838	31838
HeT-A	matched	1	"[""DF000001642""]"	"[""DF000001642""]"	1	"[""DF000001642.4""]"	"[""HeT-A""]"	1155	380794	380794
HeT-A-B	matched	1	"[""DF003894102""]"	"[""DF003894102""]"	1	"[""DF003894102.2""]"	"[""HeT-A-B""]"	1212	601755	601755
Helena	matched	1	"[""DF000001640""]"	"[""DF000001640""]"	1	"[""DF000001640.3""]"	"[""Helena""]"	403	138260	138260
Helitron1_DM	matched	1	"[""DF000001641""]"	"[""DF000001641""]"	1	"[""DF000001641.3""]"	"[""Helitron1_DM""]"	4	2252	2252
Hopper	matched	1	"[""DF000001664""]"	"[""DF000001664""]"	1	"[""DF000001664.4""]"	"[""Hopper""]"	112	88612	88612
Hopper2	matched	1	"[""DF003894090""]"	"[""DF003894090""]"	1	"[""DF003894090.2""]"	"[""Hopper2""]"	130	55613	55613
Hopper3	matched	1	"[""DF003894094""]"	"[""DF003894094""]"	1	"[""DF003894094.2""]"	"[""Hopper3""]"	242	51302	51302
IVK_DM	matched	1	"[""DF000001660""]"	"[""DF000001660""]"	1	"[""DF000001660.3""]"	"[""IVK_DM""]"	126	107683	107683
I_DM	matched	1	"[""DF000001648""]"	"[""DF000001648""]"	1	"[""DF000001648.3""]"	"[""I_DM""]"	167	110196	110196
I_a_DM	matched	1	"[""DF003894126""]"	"[""DF003894126""]"	1	"[""DF003894126.2""]"	"[""I_a_DM""]"	517	266517	266517
Idefix2_I	matched	1	"[""DF003894140""]"	"[""DF003894140""]"	1	"[""DF003894140.2""]"	"[""Idefix2_I""]"	220	158478	158478
Idefix2_LTR	matched	1	"[""DF003894089""]"	"[""DF003894089""]"	1	"[""DF003894089.2""]"	"[""Idefix2_LTR""]"	259	64589	64589
Idefix_I	matched	1	"[""DF000001646""]"	"[""DF000001646""]"	1	"[""DF000001646.3""]"	"[""Idefix_I""]"	286	227689	227689
Idefix_LTR	matched	1	"[""DF000001647""]"	"[""DF000001647""]"	1	"[""DF000001647.3""]"	"[""Idefix_LTR""]"	494	169695	169695
Invader1_I	matched	1	"[""DF000001649""]"	"[""DF000001649""]"	1	"[""DF000001649.4""]"	"[""Invader1_I""]"	129	40079	40079
Invader1_LTR	matched	1	"[""DF000001650""]"	"[""DF000001650""]"	1	"[""DF000001650.3""]"	"[""Invader1_LTR""]"	311	109284	109284
Invader2_I	matched	1	"[""DF000001651""]"	"[""DF000001651""]"	1	"[""DF000001651.3""]"	"[""Invader2_I""]"	357	183205	183205
Invader2_LTR	matched	1	"[""DF000001652""]"	"[""DF000001652""]"	1	"[""DF000001652.3""]"	"[""Invader2_LTR""]"	548	103183	103183
Invader3_I	matched	1	"[""DF000001653""]"	"[""DF000001653""]"	1	"[""DF000001653.4""]"	"[""Invader3_I""]"	132	44988	44988
Invader3_LTR	matched	1	"[""DF000001654""]"	"[""DF000001654""]"	1	"[""DF000001654.3""]"	"[""Invader3_LTR""]"	384	79992	79992
Invader4_I	matched	1	"[""DF000001655""]"	"[""DF000001655""]"	1	"[""DF000001655.4""]"	"[""Invader4_I""]"	21	21951	21951
Invader4_LTR	matched	1	"[""DF000001656""]"	"[""DF000001656""]"	1	"[""DF000001656.3""]"	"[""Invader4_LTR""]"	217	63642	63642
Invader4f_I	matched	1	"[""DF003894100""]"	"[""DF003894100""]"	1	"[""DF003894100.2""]"	"[""Invader4f_I""]"	33	38445	38445
Invader4f_LTR	matched	1	"[""DF003894091""]"	"[""DF003894091""]"	1	"[""DF003894091.2""]"	"[""Invader4f_LTR""]"	96	27579	27579
Invader5_I	matched	1	"[""DF000001657""]"	"[""DF000001657""]"	1	"[""DF000001657.4""]"	"[""Invader5_I""]"	21	13218	13218
Invader5_LTR	matched	1	"[""DF000001728""]"	"[""DF000001728""]"	1	"[""DF000001728.3""]"	"[""Invader5_LTR""]"	84	17918	17918
Invader6_I	matched	1	"[""DF000001658""]"	"[""DF000001658""]"	1	"[""DF000001658.4""]"	"[""Invader6_I""]"	46	28183	28183
Invader6_LTR	matched	1	"[""DF000001659""]"	"[""DF000001659""]"	1	"[""DF000001659.3""]"	"[""Invader6_LTR""]"	56	16025	16025
Invader7_I	matched	1	"[""DF003894113""]"	"[""DF003894113""]"	1	"[""DF003894113.2""]"	"[""Invader7_I""]"	158	101986	101986
Invader7_LTR	matched	1	"[""DF003894093""]"	"[""DF003894093""]"	1	"[""DF003894093.2""]"	"[""Invader7_LTR""]"	267	58459	58459
Invader8_I	matched	1	"[""DF003894128""]"	"[""DF003894128""]"	1	"[""DF003894128.2""]"	"[""Invader8_I""]"	79	31022	31022
Invader8_LTR	matched	1	"[""DF003894096""]"	"[""DF003894096""]"	1	"[""DF003894096.2""]"	"[""Invader8_LTR""]"	123	16993	16993
Jockey	matched	1	"[""DF000001662""]"	"[""DF000001662""]"	1	"[""DF000001662.3""]"	"[""Jockey""]"	686	455382	455382
Jockey-5_DSec	matched	1	"[""DF003894175""]"	"[""DF003894175""]"	1	"[""DF003894175.2""]"	"[""Jockey-5_DSec""]"	84	30829	30829
Jockey2	matched	1	"[""DF000001661""]"	"[""DF000001661""]"	1	"[""DF000001661.4""]"	"[""Jockey2""]"	666	219927	219927
LOOPER1_DM	matched	1	"[""DF000001663""]"	"[""DF000001663""]"	1	"[""DF000001663.3""]"	"[""LOOPER1_DM""]"	65	19784	19784
LSU-rRNA_Cel	matched	1	"[""DF000001428""]"	"[""DF000001428""]"	1	"[""DF000001428.2""]"	"[""LSU-rRNA_Cel""]"	3	531	531
LSU-rRNA_Dme	matched	1	"[""DF000001429""]"	"[""DF000001429""]"	1	"[""DF000001429.1""]"	"[""LSU-rRNA_Dme""]"	1059	252811	252811
LSU-rRNA_Hsa	matched	1	"[""DF000000772""]"	"[""DF000000772""]"	1	"[""DF000000772.5""]"	"[""LSU-rRNA_Hsa""]"	17	1428	1428
MAX_I	matched	1	"[""DF000001666""]"	"[""DF000001666""]"	1	"[""DF000001666.3""]"	"[""MAX_I""]"	384	322868	322868
MAX_LTR	matched	1	"[""DF000001667""]"	"[""DF000001667""]"	1	"[""DF000001667.7""]"	"[""MAX_LTR""]"	131	39539	39539
MAX_LTR2	matched	1	"[""DF003894101""]"	"[""DF003894101""]"	1	"[""DF003894101.2""]"	"[""MAX_LTR2""]"	315	77710	77710
MAX_LTR3	matched	1	"[""DF003894186""]"	"[""DF003894186""]"	1	"[""DF003894186.2""]"	"[""MAX_LTR3""]"	79	15893	15893
MDG1-A_I	matched	1	"[""DF003894147""]"	"[""DF003894147""]"	1	"[""DF003894147.2""]"	"[""MDG1-A_I""]"	198	89826	89826
MDG1-A_LTR	matched	1	"[""DF003894103""]"	"[""DF003894103""]"	1	"[""DF003894103.2""]"	"[""MDG1-A_LTR""]"	154	36394	36394
MDG1_I	matched	1	"[""DF000001668""]"	"[""DF000001668""]"	1	"[""DF000001668.3""]"	"[""MDG1_I""]"	154	76876	76876
MDG1_LTR	matched	1	"[""DF000001669""]"	"[""DF000001669""]"	1	"[""DF000001669.3""]"	"[""MDG1_LTR""]"	150	51575	51575
MDG3_I	matched	1	"[""DF000001670""]"	"[""DF000001670""]"	1	"[""DF000001670.3""]"	"[""MDG3_I""]"	74	19103	19103
MDG3_LTR	matched	1	"[""DF000001671""]"	"[""DF000001671""]"	1	"[""DF000001671.3""]"	"[""MDG3_LTR""]"	171	46885	46885
MINOS	matched	1	"[""DF000001674""]"	"[""DF000001674""]"	1	"[""DF000001674.2""]"	"[""MINOS""]"	93	23294	23294
MUN3_I	matched	1	"[""DF003894136""]"	"[""DF003894136""]"	1	"[""DF003894136.2""]"	"[""MUN3_I""]"	160	98625	98625
MUN3_LTR	matched	1	"[""DF003894117""]"	"[""DF003894117""]"	1	"[""DF003894117.2""]"	"[""MUN3_LTR""]"	69	21924	21924
Mariner2_DM	matched	1	"[""DF000001665""]"	"[""DF000001665""]"	1	"[""DF000001665.3""]"	"[""Mariner2_DM""]"	597	174674	174674
Mariner5_DM	matched	1	"[""DF003894099""]"	"[""DF003894099""]"	1	"[""DF003894099.2""]"	"[""Mariner5_DM""]"	178	29073	29073
Micropia2_DM-I	matched	1	"[""DF003894133""]"	"[""DF003894133""]"	1	"[""DF003894133.2""]"	"[""Micropia2_DM-I""]"	1	600	600
Micropia3_DM-LTR	matched	1	"[""DF003894159""]"	"[""DF003894159""]"	1	"[""DF003894159.2""]"	"[""Micropia3_DM-LTR""]"	31	12092	12092
Micropia4_DM-I	matched	1	"[""DF003894118""]"	"[""DF003894118""]"	1	"[""DF003894118.2""]"	"[""Micropia4_DM-I""]"	24	38783	38783
Micropia4_DM-LTR	matched	1	"[""DF003894107""]"	"[""DF003894107""]"	1	"[""DF003894107.2""]"	"[""Micropia4_DM-LTR""]"	24	5620	5620
Micropia5_Dros-I	matched	1	"[""DF003894125""]"	"[""DF003894125""]"	1	"[""DF003894125.2""]"	"[""Micropia5_Dros-I""]"	150	88956	88956
Micropia5_Dros-LTR	matched	1	"[""DF003894111""]"	"[""DF003894111""]"	1	"[""DF003894111.2""]"	"[""Micropia5_Dros-LTR""]"	184	51641	51641
Micropia5a_Dros-LTR	matched	1	"[""DF003894109""]"	"[""DF003894109""]"	1	"[""DF003894109.2""]"	"[""Micropia5a_Dros-LTR""]"	42	10624	10624
Micropia6_Dros-I	matched	1	"[""DF003894123""]"	"[""DF003894123""]"	1	"[""DF003894123.2""]"	"[""Micropia6_Dros-I""]"	28	37511	37511
Micropia6_Dros-LTR	matched	1	"[""DF003894114""]"	"[""DF003894114""]"	1	"[""DF003894114.2""]"	"[""Micropia6_Dros-LTR""]"	75	23553	23553
Micropia7_Dmel_I	matched	1	"[""DF003894134""]"	"[""DF003894134""]"	1	"[""DF003894134.2""]"	"[""Micropia7_Dmel_I""]"	124	109035	109035
Micropia7_Dmel_LTR	matched	1	"[""DF003894116""]"	"[""DF003894116""]"	1	"[""DF003894116.2""]"	"[""Micropia7_Dmel_LTR""]"	775	210821	210821
Micropia_I	matched	1	"[""DF000001672""]"	"[""DF000001672""]"	1	"[""DF000001672.4""]"	"[""Micropia_I""]"	188	185097	185097
Micropia_LTR	matched	1	"[""DF000001673""]"	"[""DF000001673""]"	1	"[""DF000001673.3""]"	"[""Micropia_LTR""]"	399	124674	124674
Micropia_LTR2	matched	1	"[""DF003894115""]"	"[""DF003894115""]"	1	"[""DF003894115.2""]"	"[""Micropia_LTR2""]"	85	23849	23849
NOF_FB	matched	1	"[""DF000001677""]"	"[""DF000001677""]"	1	"[""DF000001677.4""]"	"[""NOF_FB""]"	1060	351494	351494
Ninja-2_Dros-I	matched	1	"[""DF003894129""]"	"[""DF003894129""]"	1	"[""DF003894129.2""]"	"[""Ninja-2_Dros-I""]"	142	199251	199251
Ninja-2_Dros-LTR	matched	1	"[""DF003894119""]"	"[""DF003894119""]"	1	"[""DF003894119.2""]"	"[""Ninja-2_Dros-LTR""]"	194	57299	57299
Ninja_DM_I	matched	1	"[""DF000001675""]"	"[""DF000001675""]"	1	"[""DF000001675.3""]"	"[""Ninja_DM_I""]"	225	254648	254648
Ninja_DM_LTR	matched	1	"[""DF000001676""]"	"[""DF000001676""]"	1	"[""DF000001676.3""]"	"[""Ninja_DM_LTR""]"	702	194648	194648
Nomad2-I	matched	1	"[""DF003894143""]"	"[""DF003894143""]"	1	"[""DF003894143.2""]"	"[""Nomad2-I""]"	137	81689	81689
Nomad2_DMel-LTR	matched	1	"[""DF003894121""]"	"[""DF003894121""]"	1	"[""DF003894121.2""]"	"[""Nomad2_DMel-LTR""]"	56	22453	22453
Nomad_I	matched	1	"[""DF000001678""]"	"[""DF000001678""]"	1	"[""DF000001678.4""]"	"[""Nomad_I""]"	146	69114	69114
Nomad_LTR	matched	1	"[""DF000001679""]"	"[""DF000001679""]"	1	"[""DF000001679.3""]"	"[""Nomad_LTR""]"	564	257424	257424
Osvaldo8_DM_I	matched	1	"[""DF000001634""]"	"[""DF000001634""]"	1	"[""DF000001634.4""]"	"[""Osvaldo8_DM_I""]"	320	317861	317861
Osvaldo8a_DM-LTR	matched	1	"[""DF003894124""]"	"[""DF003894124""]"	1	"[""DF003894124.2""]"	"[""Osvaldo8a_DM-LTR""]"	2267	620712	620712
PLACW_DM	matched	1	"[""DF000001681""]"	"[""DF000001681""]"	1	"[""DF000001681.3""]"	"[""PLACW_DM""]"	5	4645	4645
Pifo_DM_I	matched	1	"[""DF003894148""]"	"[""DF003894148""]"	1	"[""DF003894148.2""]"	"[""Pifo_DM_I""]"	142	11129	11129
Pifo_Dm_LTR	matched	1	"[""DF003894127""]"	"[""DF003894127""]"	1	"[""DF003894127.2""]"	"[""Pifo_Dm_LTR""]"	24	10644	10644
Pogo	matched	1	"[""DF000001682""]"	"[""DF000001682""]"	1	"[""DF000001682.3""]"	"[""Pogo""]"	229	127499	127499
PogoN1	matched	1	"[""DF000001683""]"	"[""DF000001683""]"	1	"[""DF000001683.3""]"	"[""PogoN1""]"	390	72274	72274
ProtoP	matched	1	"[""DF000001684""]"	"[""DF000001684""]"	1	"[""DF000001684.3""]"	"[""ProtoP""]"	4275	1196450	1196450
ProtoP_A	matched	1	"[""DF000001685""]"	"[""DF000001685""]"	1	"[""DF000001685.3""]"	"[""ProtoP_A""]"	3477	1687271	1687271
ProtoP_B	matched	1	"[""DF000001686""]"	"[""DF000001686""]"	1	"[""DF000001686.4""]"	"[""ProtoP_B""]"	4915	980024	980024
Quasimodo2_DM_I	matched	1	"[""DF000001687""]"	"[""DF000001687""]"	1	"[""DF000001687.4""]"	"[""Quasimodo2_DM_I""]"	21	21028	21028
Quasimodo2_DM_LTR	matched	1	"[""DF000001730""]"	"[""DF000001730""]"	1	"[""DF000001730.3""]"	"[""Quasimodo2_DM_LTR""]"	129	42248	42248
Quasimodo3_DM-I	matched	1	"[""DF003894173""]"	"[""DF003894173""]"	1	"[""DF003894173.2""]"	"[""Quasimodo3_DM-I""]"	398	135353	135353
Quasimodo3_DM-LTR	matched	1	"[""DF003894130""]"	"[""DF003894130""]"	1	"[""DF003894130.2""]"	"[""Quasimodo3_DM-LTR""]"	489	129267	129267
Quasimodo4_DM-I	matched	1	"[""DF003894155""]"	"[""DF003894155""]"	1	"[""DF003894155.2""]"	"[""Quasimodo4_DM-I""]"	105	68448	68448
Quasimodo4_DM-LTR	matched	1	"[""DF003894131""]"	"[""DF003894131""]"	1	"[""DF003894131.2""]"	"[""Quasimodo4_DM-LTR""]"	471	121775	121775
Quasimodo_I	matched	1	"[""DF000001688""]"	"[""DF000001688""]"	1	"[""DF000001688.3""]"	"[""Quasimodo_I""]"	106	100715	100715
Quasimodo_LTR	matched	1	"[""DF000001689""]"	"[""DF000001689""]"	1	"[""DF000001689.3""]"	"[""Quasimodo_LTR""]"	441	212520	212520
Quasimodo_b_LTR	matched	1	"[""DF003894132""]"	"[""DF003894132""]"	1	"[""DF003894132.2""]"	"[""Quasimodo_b_LTR""]"	96	32457	32457
R1-2_DM	matched	1	"[""DF000001690""]"	"[""DF000001690""]"	1	"[""DF000001690.4""]"	"[""R1-2_DM""]"	1281	214331	214331
R1_DM	matched	1	"[""DF000001691""]"	"[""DF000001691""]"	1	"[""DF000001691.3""]"	"[""R1_DM""]"	1451	1121510	1121510
R2_DM	matched	1	"[""DF000001692""]"	"[""DF000001692""]"	1	"[""DF000001692.3""]"	"[""R2_DM""]"	340	227774	227774
RooA_I	matched	1	"[""DF000001693""]"	"[""DF000001693""]"	1	"[""DF000001693.3""]"	"[""RooA_I""]"	150	97396	97396
RooA_LTR	matched	1	"[""DF000001694""]"	"[""DF000001694""]"	1	"[""DF000001694.3""]"	"[""RooA_LTR""]"	239	62919	62919
Roo_I	matched	1	"[""DF000001695""]"	"[""DF000001695""]"	1	"[""DF000001695.3""]"	"[""Roo_I""]"	15906	1288210	1288210
Roo_LTR	matched	1	"[""DF000001696""]"	"[""DF000001696""]"	1	"[""DF000001696.3""]"	"[""Roo_LTR""]"	655	240089	240089
Rover2_DM-I	matched	1	"[""DF003894179""]"	"[""DF003894179""]"	1	"[""DF003894179.2""]"	"[""Rover2_DM-I""]"	163	81756	81756
Rover2_DM-LTR	matched	1	"[""DF003894139""]"	"[""DF003894139""]"	1	"[""DF003894139.2""]"	"[""Rover2_DM-LTR""]"	388	92906	92906
Rover_DM_I	matched	1	"[""DF000001697""]"	"[""DF000001697""]"	1	"[""DF000001697.4""]"	"[""Rover_DM_I""]"	30	19785	19785
Rover_DM_LTR1	matched	1	"[""DF000001698""]"	"[""DF000001698""]"	1	"[""DF000001698.3""]"	"[""Rover_DM_LTR1""]"	39	13276	13276
Rover_DM_LTR1a	matched	1	"[""DF003894135""]"	"[""DF003894135""]"	1	"[""DF003894135.2""]"	"[""Rover_DM_LTR1a""]"	6	1902	1902
Rover_DM_LTR2	matched	1	"[""DF003894138""]"	"[""DF003894138""]"	1	"[""DF003894138.2""]"	"[""Rover_DM_LTR2""]"	20	6106	6106
Rover_DM_LTR2a	matched	1	"[""DF003894137""]"	"[""DF003894137""]"	1	"[""DF003894137.2""]"	"[""Rover_DM_LTR2a""]"	4	1536	1536
S1_DM	matched	1	"[""DF003894161""]"	"[""DF003894161""]"	1	"[""DF003894161.2""]"	"[""S1_DM""]"	1014	518010	518010
S2_DM	matched	1	"[""DF000001729""]"	"[""DF000001729""]"	1	"[""DF000001729.3""]"	"[""S2_DM""]"	209	70219	70219
SSU-rRNA_Dme	matched	1	"[""DF000001475""]"	"[""DF000001475""]"	1	"[""DF000001475.2""]"	"[""SSU-rRNA_Dme""]"	58	13929	13929
SSU-rRNA_Hsa	matched	1	"[""DF000001066""]"	"[""DF000001066""]"	1	"[""DF000001066.5""]"	"[""SSU-rRNA_Hsa""]"	141	74889	74889
S_DM	matched	1	"[""DF000001702""]"	"[""DF000001702""]"	1	"[""DF000001702.3""]"	"[""S_DM""]"	153	46444	46444
Souslik2_Dmel-I	matched	1	"[""DF003894149""]"	"[""DF003894149""]"	1	"[""DF003894149.2""]"	"[""Souslik2_Dmel-I""]"	82	70058	70058
Souslik2_Dmel-LTR	matched	1	"[""DF003894144""]"	"[""DF003894144""]"	1	"[""DF003894144.2""]"	"[""Souslik2_Dmel-LTR""]"	47	9014	9014
Souslik3_DMel-I	matched	1	"[""DF003894152""]"	"[""DF003894152""]"	1	"[""DF003894152.2""]"	"[""Souslik3_DMel-I""]"	91	35282	35282
Souslik3_DMel-LTR	matched	1	"[""DF003894145""]"	"[""DF003894145""]"	1	"[""DF003894145.2""]"	"[""Souslik3_DMel-LTR""]"	87	16061	16061
Souslik_Dmel-I	matched	1	"[""DF003894154""]"	"[""DF003894154""]"	1	"[""DF003894154.2""]"	"[""Souslik_Dmel-I""]"	80	63637	63637
Souslik_Dmel-LTR	matched	1	"[""DF003894146""]"	"[""DF003894146""]"	1	"[""DF003894146.2""]"	"[""Souslik_Dmel-LTR""]"	4	188	188
Springer_I	matched	1	"[""DF000001617""]"	"[""DF000001617""]"	1	"[""DF000001617.4""]"	"[""Springer_I""]"	48	46576	46576
Springer_LTR	matched	1	"[""DF003894038""]"	"[""DF003894038""]"	1	"[""DF003894038.2""]"	"[""Springer_LTR""]"	100	36258	36258
Stalker1_I	matched	1	"[""DF003894160""]"	"[""DF003894160""]"	1	"[""DF003894160.2""]"	"[""Stalker1_I""]"	60	47002	47002
Stalker1a_I	matched	1	"[""DF003894169""]"	"[""DF003894169""]"	1	"[""DF003894169.2""]"	"[""Stalker1a_I""]"	139	155065	155065
Stalker1a_LTR	matched	1	"[""DF003894187""]"	"[""DF003894187""]"	1	"[""DF003894187.2""]"	"[""Stalker1a_LTR""]"	335	93694	93694
Stalker1b_I	matched	1	"[""DF003894153""]"	"[""DF003894153""]"	1	"[""DF003894153.2""]"	"[""Stalker1b_I""]"	79	76323	76323
Stalker1b_LTR	matched	1	"[""DF003894150""]"	"[""DF003894150""]"	1	"[""DF003894150.2""]"	"[""Stalker1b_LTR""]"	347	101339	101339
Stalker1c_I	matched	1	"[""DF003894156""]"	"[""DF003894156""]"	1	"[""DF003894156.2""]"	"[""Stalker1c_I""]"	104	77030	77030
Stalker1c_LTR	matched	1	"[""DF003894151""]"	"[""DF003894151""]"	1	"[""DF003894151.2""]"	"[""Stalker1c_LTR""]"	136	16701	16701
Stalker2_I	matched	1	"[""DF000001703""]"	"[""DF000001703""]"	1	"[""DF000001703.4""]"	"[""Stalker2_I""]"	32	17789	17789
Stalker2_LTR	matched	1	"[""DF000001704""]"	"[""DF000001704""]"	1	"[""DF000001704.3""]"	"[""Stalker2_LTR""]"	318	35232	35232
Stalker3_I	matched	1	"[""DF003894167""]"	"[""DF003894167""]"	1	"[""DF003894167.2""]"	"[""Stalker3_I""]"	24	34153	34153
Stalker3_LTR	matched	1	"[""DF000001705""]"	"[""DF000001705""]"	1	"[""DF000001705.3""]"	"[""Stalker3_LTR""]"	98	16982	16982
Stalker4_I	matched	1	"[""DF000001706""]"	"[""DF000001706""]"	1	"[""DF000001706.3""]"	"[""Stalker4_I""]"	2	12963	12963
Stalker_LTR	matched	1	"[""DF000001707""]"	"[""DF000001707""]"	1	"[""DF000001707.7""]"	"[""Stalker_LTR""]"	204	64988	64988
TAHRE	matched	1	"[""DF000001710""]"	"[""DF000001710""]"	1	"[""DF000001710.4""]"	"[""TAHRE""]"	852	361481	361481
TART-A	matched	1	"[""DF000001711""]"	"[""DF000001711""]"	1	"[""DF000001711.4""]"	"[""TART-A""]"	1377	838539	838539
TART-B1	matched	1	"[""DF000001712""]"	"[""DF000001712""]"	1	"[""DF000001712.4""]"	"[""TART-B1""]"	1520	497625	497625
Tabor2_I	matched	1	"[""DF003894183""]"	"[""DF003894183""]"	1	"[""DF003894183.2""]"	"[""Tabor2_I""]"	158	89983	89983
Tabor2_LTR	matched	1	"[""DF003894157""]"	"[""DF003894157""]"	1	"[""DF003894157.2""]"	"[""Tabor2_LTR""]"	522	95183	95183
Tabor_I	matched	1	"[""DF000001708""]"	"[""DF000001708""]"	1	"[""DF000001708.3""]"	"[""Tabor_I""]"	80	22815	22815
Tabor_LTR	matched	1	"[""DF000001709""]"	"[""DF000001709""]"	1	"[""DF000001709.4""]"	"[""Tabor_LTR""]"	101	31472	31472
Tc1-2_DM	matched	1	"[""DF000001713""]"	"[""DF000001713""]"	1	"[""DF000001713.3""]"	"[""Tc1-2_DM""]"	285	115378	115378
Tc1-3_DM	matched	1	"[""DF003894162""]"	"[""DF003894162""]"	1	"[""DF003894162.2""]"	"[""Tc1-3_DM""]"	169	84206	84206
Tc1-4_DM	matched	1	"[""DF003894168""]"	"[""DF003894168""]"	1	"[""DF003894168.2""]"	"[""Tc1-4_DM""]"	460	117557	117557
Tc1-5_DM	matched	1	"[""DF003894165""]"	"[""DF003894165""]"	1	"[""DF003894165.2""]"	"[""Tc1-5_DM""]"	264	66924	66924
Tc1-6N_DM	matched	1	"[""DF000001593""]"	"[""DF000001593""]"	1	"[""DF000001593.3""]"	"[""Tc1-6N_DM""]"	209	118524	118524
Tc1-6_DM	matched	1	"[""DF003894174""]"	"[""DF003894174""]"	1	"[""DF003894174.2""]"	"[""Tc1-6_DM""]"	496	124297	124297
Tc1_DM	matched	1	"[""DF000001714""]"	"[""DF000001714""]"	1	"[""DF000001714.4""]"	"[""Tc1_DM""]"	409	157170	157170
Tirant_I	matched	1	"[""DF000001715""]"	"[""DF000001715""]"	1	"[""DF000001715.4""]"	"[""Tirant_I""]"	18	2372	2372
Tirant_LTR	matched	1	"[""DF000001716""]"	"[""DF000001716""]"	1	"[""DF000001716.3""]"	"[""Tirant_LTR""]"	161	55158	55158
Tirant_b-I	matched	1	"[""DF003894176""]"	"[""DF003894176""]"	1	"[""DF003894176.2""]"	"[""Tirant_b-I""]"	26	21202	21202
Tirant_b-LTR	matched	1	"[""DF003894163""]"	"[""DF003894163""]"	1	"[""DF003894163.2""]"	"[""Tirant_b-LTR""]"	232	83659	83659
Transib-N1_DM	matched	1	"[""DF000001724""]"	"[""DF000001724""]"	1	"[""DF000001724.3""]"	"[""Transib-N1_DM""]"	643	76386	76386
Transib1	matched	1	"[""DF000001719""]"	"[""DF000001719""]"	1	"[""DF000001719.4""]"	"[""Transib1""]"	163	60949	60949
Transib1Y	matched	1	"[""DF003894177""]"	"[""DF003894177""]"	1	"[""DF003894177.2""]"	"[""Transib1Y""]"	3	606	606
Transib2	matched	1	"[""DF000001720""]"	"[""DF000001720""]"	1	"[""DF000001720.4""]"	"[""Transib2""]"	617	257371	257371
Transib3	matched	1	"[""DF000001721""]"	"[""DF000001721""]"	1	"[""DF000001721.4""]"	"[""Transib3""]"	516	146503	146503
Transib4	matched	1	"[""DF000001722""]"	"[""DF000001722""]"	1	"[""DF000001722.4""]"	"[""Transib4""]"	248	67888	67888
