species_code	kingdom	scientific_name	taxid	target_set	role_from_backup	priority_from_target_manifest	clade_group	genome_bp	annotation_status	has_te_interval_annotation	fasta_path	te_bed_path	repeats_bed_path	fasta_md5	source_label_regime	claim_eligible	claim_block_reason
tomato	Plant	Solanum lycopersicum		plantte_train_core	train	A2	dicot	827747456	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/tomato/Solanum_lycopersicum.SL3.0.dna.toplevel.fa.gz			skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
zea_diploperennis_gigi	Plant	Zea diploperennis		current_extra_or_legacy	not_in_2026_05_22_target_manifest			3290921811	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/zea_diploperennis_gigi/Zd-Gigi-REFERENCE-PanAnd-1.0.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/zea_diploperennis_gigi/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/plants/zea_diploperennis_gigi/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
aspergillus_fumigatus	Fungus	Aspergillus fumigatus		fungi_train_core	train	A3	filamentous ascomycete	29420142	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/aspergillus_fumigatus/Aspergillus_fumigatus.GCA000002655v1.dna.toplevel.fa.gz			79a8eebbf39c4b02468bf12675753969	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
batrachochytrium	Fungus	Batrachochytrium dendrobatidis		fungi_train_core	train	A3	chytrid	23810896	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/batrachochytrium/GCF_000203795.2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/batrachochytrium/rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/batrachochytrium/rmsk_repeats.bed.gz	ee7f9d4366e3201dd93493439e5c3fa3	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
botrytis	Fungus	Botrytis cinerea		fungi_train_core	train	A3	plant pathogen	42630066	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/botrytis/Botrytis_cinerea.ASM83294v1.dna.toplevel.fa.gz			44298912d9ec10cd8a9cc7b48fd2ab61	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
bread_mold	Fungus	Neurospora crassa		fungi_train_core	train	A3	filamentous ascomycete	41102378	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/bread_mold/Neurospora_crassa.NC12.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/bread_mold/neurospora_crassa_rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/bread_mold/neurospora_crassa_rmsk_repeats.bed.gz	237bdb9a9d8d5c05b7b41b876b59182d	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
budding_yeast	Fungus	Saccharomyces cerevisiae		fungi_train_core	train	A3	budding yeast	12157105	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/budding_yeast/Saccharomyces_cerevisiae.R64-1-1.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/budding_yeast/saccharomyces_cerevisiae_rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/budding_yeast/saccharomyces_cerevisiae_rmsk_repeats.bed.gz	f4b28ca7cd1554c0bade6ca3ddb1aa8e	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
candida	Fungus	Candida albicans		fungi_train_core	train	A3	yeast	14282666	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/candida/GCA_000182965.3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/candida/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/candida/rmsk_repeats.bed.gz	bb09301e977f1e154de1a8022a1e1431	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
corn_smut_fungus	Fungus	Ustilago maydis		fungi_train_core	train	A3	basidiomycete	19664356	rmsk_te_without_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/corn_smut_fungus/Ustilago_maydis.Umaydis521_2.0.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/corn_smut_fungus/ustilago_maydis_521_rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/corn_smut_fungus/ustilago_maydis_521_rmsk_repeats.bed.gz	d25e4c8c08aa4420f0535c7305ced4e0	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
cryptococcus	Fungus	Cryptococcus neoformans		fungi_train_core	train	A3	basidiomycete	18916112	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/cryptococcus/GCA_000149245.3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/cryptococcus/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/cryptococcus/rmsk_repeats.bed.gz	631dbbfcbcc2491f90cdb69416129ec2	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
fission_yeast	Fungus	Schizosaccharomyces pombe		fungi_train_core	train	A3	fission yeast	12631379	rmsk_te_without_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/fission_yeast/Schizosaccharomyces_pombe.ASM294v2.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/fission_yeast/schizosaccharomyces_pombe_rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/fission_yeast/schizosaccharomyces_pombe_rmsk_repeats.bed.gz	3a1cea7cb25bfc0d4689d2830517aa3e	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
fusarium_wilt_fungus	Fungus	Fusarium oxysporum		current_extra_or_legacy	not_in_2026_05_22_target_manifest			61471697	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/fusarium_wilt_fungus/GCA_000149955.2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/fusarium_wilt_fungus/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/fusarium_wilt_fungus/rmsk_repeats.bed.gz	ff3d506c8ffbca4be962c666dc8ea138	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
koji_mold	Fungus	Aspergillus oryzae		current_extra_or_legacy	not_in_2026_05_22_target_manifest			37912014	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/koji_mold/Aspergillus_oryzae.ASM18445v3.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/koji_mold/aspergillus_oryzae_rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/koji_mold/aspergillus_oryzae_rmsk_repeats.bed.gz	8f701a361d1e9bfa3e8a8a8a4374ce2b	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
mucor	Fungus	Mucor circinelloides		fungi_train_core	train	A3	mucoromycete	36348485	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/mucor/GCA_000401635.1.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/mucor/rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/mucor/rmsk_repeats.bed.gz	1bb05f6ee760f3ea8081616e0c0d88cf	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
nidulans_mold	Fungus	Aspergillus nidulans		fungi_train_core	train	A3	filamentous ascomycete	29828291	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/nidulans_mold/Aspergillus_nidulans.ASM1142v1.dna.toplevel.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/nidulans_mold/aspergillus_nidulans_rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/nidulans_mold/aspergillus_nidulans_rmsk_repeats.bed.gz	e15e0f945b00586af3f8116297134ab6	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
rhizophagus	Fungus	Rhizophagus irregularis		fungi_train_core	train	A3	arbuscular mycorrhizal fungus	136726313	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/rhizophagus/GCF_000439145.1.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/rhizophagus/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/rhizophagus/rmsk_repeats.bed.gz	f68b37c96e3f16ce1fe15dadcc27d575	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
rice_blast_fungus	Fungus	Magnaporthe oryzae		fungi_train_core	train	A3	plant pathogen	40979121	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/rice_blast_fungus/GCF_000002495.2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/rice_blast_fungus/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/rice_blast_fungus/rmsk_repeats.bed.gz	1f688d13fd819412c77745fca7b77d4f	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
stem_rust_fungus	Fungus	Puccinia graminis		fungi_train_core	train	A3	rust fungus	88724376	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/stem_rust_fungus/GCF_000149925.1.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/stem_rust_fungus/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/stem_rust_fungus/rmsk_repeats.bed.gz	3d9491bb89c16dcf1a73dbd017e30569	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
wheat_scab_fungus	Fungus	Fusarium graminearum		fungi_train_core	train	A3	plant pathogen	36565771	rmsk_repeats_with_class_fallback	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/wheat_scab_fungus/GCA_000240135.3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/wheat_scab_fungus/rmsk_repeats.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/wheat_scab_fungus/rmsk_repeats.bed.gz	88aba5be4318a6b93d73cb511311bf4f	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
zymoseptoria	Fungus	Zymoseptoria tritici		fungi_train_core	train	A3	plant pathogen	39686251	missing_annotation	False	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/fungi/zymoseptoria/Zymoseptoria_tritici.MG2.dna.toplevel.fa.gz			1dabe3f6ae808a61b8e6f0ba1809d117	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
