package_id	role	role_rank	reserve_pair_rank	unit_type	hard_cell	selection_priority	deep_audit_feature_id	assembly_id	seqid	core_start0	core_end0	package_start0	package_end0	feature_ids	core_length	feature_count	max_overlap_depth	p3_atoms_core	p3_atoms_package	nearest_fbti_gap
S1-00115	reserve	27	8	S1	S1-C1	0.070087120028085259		dmel_r6.68	2R	5723934	5724797	5713934	5734797	FBti0063184,FBti0063185	863	2	2	13	335	
S1-00130	reserve	28	9	S1	S1-C1	0.050548046847318728		dmel_r6.68	2R	10622398	10637115	10612398	10647115	FBti0019987,FBti0059781	14717	2	2	673	863	
S1-00132	reserve	29	10	S1	S1-C1	0.11095935846198279		dmel_r6.68	2R	18358463	18372590	18348463	18382590	FBti0059691,FBti0059830	14127	2	2	389	498	
S1-00135	reserve	30	11	S1	S1-C1	0.11114863682661169		dmel_r6.68	3L	8019754	8024109	8009754	8034109	FBti0020066,FBti0059773	4355	2	2	27	44	
S1-00142	reserve	31	12	S1	S1-C1	0.030073712620141024		dmel_r6.68	3L	21498891	21501246	21488891	21511246	FBti0059779,FBti0060090	2355	2	2	39	146	
S1-00266	reserve	32	15	S1	S1-C1	0.12667399836116777		dmel_r6.68	X	3726817	3730153	3716817	3740153	FBti0019562,FBti0019629	3336	2	2	14	45	
S1-00269	reserve	33	16	S1	S1-C1	0.091418776172045635		dmel_r6.68	X	14001032	14007159	13991032	14017159	FBti0019049,FBti0060033	6127	2	2	18	117	
S1-00276	reserve	34	17	S1	S1-C1	0.055547406320807124		dmel_r6.68	X	21658133	21667897	21648133	21677897	FBti0019707,FBti0060077	9764	2	2	290	1243	
S1-00282	reserve	35	18	S1	S1-C1	0.13298342946216246		dmel_r6.68	X	21731788	21732652	21721788	21742652	FBti0060606,FBti0060712	864	2	2	35	1068	
S1-00296	reserve	36	19	S1	S1-C1	0.13132822041651981		dmel_r6.68	X	22784305	22785355	22774305	22795355	FBti0019746,FBti0061669	1050	2	2	25	642	
S1-00299	reserve	37	20	S1	S1-C1	0.15013573829263094		dmel_r6.68	X	22896295	22898613	22886295	22908613	FBti0060531,FBti0061850	2318	2	2	28	469	
S1-00019	reserve	38	3	S1	S1-C2	0.048458944334012433		dmel_r6.68	2L	21546180	21556050	21536180	21566050	FBti0060302,FBti0062845,FBti0062928,FBti0062930	9870	4	2	112	1037	
S1-00167	reserve	39	13	S1	S1-C3	0.021626495125073752		dmel_r6.68	3L	23355058	23358754	23345058	23368754	FBti0020263,FBti0020265,FBti0062656	3696	3	3	149	936	
S1-00243	reserve	40	14	S1	S1-C3	0.075091435903800408		dmel_r6.68	4	431770	435221	421770	445221	FBti0019489,FBti0059688,FBti0059689,FBti0063425	3451	4	3	97	243	
