source	model	species	te_f1	anchor_type	species_group	panel	n_chrom	sd_te_f1	stage	label_jaccard	ucsc_bp_covered_by_self	self_bp_covered_by_ucsc	self_merged_bp	ucsc_merged_bp	target_gc	distance_mya_proxy	log_distance_mya	same_group_anchor
anchor_anchor	cross_supervised_4096	western_honey_bee	0.0052898014902451	cross	insect				cross_supervised_to_insect_stress	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	plant_supervised_4096	western_honey_bee	0.0003842421976866	plant	insect				plant_supervised_to_cross_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	plant_supervised_4096	western_honey_bee	0.0003842416254314	plant	insect				plant_supervised_to_stress_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	direct_red_flour_beetle_4096	western_honey_bee	0.0	other_anchor	insect				direct_beetle_to_cross_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	direct_red_flour_beetle_4096	western_honey_bee	0.0	other_anchor	insect				direct_beetle_to_stress_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	direct_western_honey_bee_4096	western_honey_bee	0.0	other_anchor	insect				direct_honeybee_to_cross_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	direct_western_honey_bee_4096	western_honey_bee	0.0	other_anchor	insect				direct_honeybee_to_stress_eval	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
calib_anchor	direct_western_honey_bee_4096	western_honey_bee	0.0	other_anchor	insect				direct_honeybee_own_holdout	0.020425	0.982865	0.020432	4337232	90164		820.0	2.9138138523837167	0
anchor_anchor	TFREPAIR_invert_boost_animal_4096_seed42	x_laevis	0.4013777654205557	animal	vertebrate				animal_invert_boost_to_insect_stress	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	x_laevis	0.4013775981071781	animal	vertebrate				animal_invert_boost_to_cross_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	1
calib_anchor	TFREPAIR_invert_boost_animal_4096_seed42	x_laevis	0.4013775981071781	animal	vertebrate				animal_invert_boost_to_stress_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	1
calib_anchor	cross_supervised_4096	x_laevis	0.3945827783795458	cross	vertebrate				cross_supervised_to_cross_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
calib_anchor	cross_supervised_4096	x_laevis	0.3945827783795458	cross	vertebrate				cross_supervised_to_stress_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
anchor_anchor	cross_supervised_4096	x_laevis	0.3945827783795458	cross	vertebrate				cross_supervised_to_insect_stress	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
calib_anchor	plant_supervised_4096	x_laevis	0.2855543757586765	plant	vertebrate				plant_supervised_to_cross_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
calib_anchor	plant_supervised_4096	x_laevis	0.2855543757586765	plant	vertebrate				plant_supervised_to_stress_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
calib_anchor	insect_no_beetle_4096	x_laevis	0.2829600934257301	insect	vertebrate				insect_no_beetle_to_cross_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
calib_anchor	insect_no_beetle_4096	x_laevis	0.2829600934257301	insect	vertebrate				insect_no_beetle_to_stress_eval	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
anchor_anchor	insect_no_beetle_4096	x_laevis	0.2829600934257301	insect	vertebrate				insect_no_beetle_to_insect_stress	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
anchor_anchor	insect_primary_4096	x_laevis	0.2268599691025123	insect	vertebrate				insect_primary_to_insect_stress	0.000194	0.000194	0.813401	56801	238590187		370.0	2.568201724066995	0
supp_h0_transfer	ntv2_500m_H0_w4096	zebrafish	0.8151318178516959	human_h0_ntv2_500m	vertebrate				transfer_BC_w4096	0.837603	0.982602	0.850212	891480468	771367366	0.4137124131384462	430.0	2.6334684555795866	0
final_errorbar	ntv2_250m_w4096	zebrafish	0.753453009276328	human_h0_ntv2_250m	vertebrate	animal_fine	3.0	0.0131433323203878		0.837603	0.982602	0.850212	891480468	771367366	0.4137124131384462	430.0	2.6334684555795866	0
final_errorbar	ntv3_100m_pre_w2048	zebrafish	0.5214699959942013	human_h0_ntv3_100m	vertebrate	animal_fine	3.0	0.0175674395284055		0.837603	0.982602	0.850212	891480468	771367366	0.4137124131384462	430.0	2.6334684555795866	0
